Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge,
"Schroder ISF Emerging Markets Debt Absolute Return A Dis SGD-H",SGD,5,Y,N,N,N,1.50%,1.89%,USD 2623.91,1500.00,100.00,4.01%,Payout,Q,0,
"PIMCO Total Return Bond Fund Cl E Acc SGD-H",SGD,3,Y,N,N,Y,1.40%,1.40%,USD 5700.00,1000.00,500.00,,,,0,
"Neuberger Berman Systematic Global Equity A Acc SGD-H",SGD,7,Y,N,N,Y,1.30%,1.60%,USD 9.26,1000.00,100.00,,,,0,
"United SGD Fund Cl A Acc SGD",SGD,2,Y,Y,Y,Y,0.63%,0.68%,SGD 2645.24,1000.00,100.00,,,,0,
"LionGlobal Malaysia SGD",SGD,9,Y,N,N,Y,1.25%,2.14%,SGD 8.80,1000.00,100.00,,,,0,
"UBS (Lux) Equity Fund - Greater China P Acc SGD",SGD,8,Y,N,N,N,1.87%,2.42%,SGD 2662.03,1000.00,500.00,,,,0,
"United Income Focus Trust Acc USD",USD,6,Y,N,N,N,1.25%,1.57%,USD 911.84,1000.00,100.00,,,,0,
"Aberdeen Standard European Opportunities SGD",SGD,8,Y,Y,N,Y,1.50%,1.75%,SGD 45.00,1000.00,100.00,,,,0,
"HGIF - Brazil Equity AD SGD",SGD,9,Y,N,N,Y,1.75%,2.15%,USD 160.12,1000.00,100.00,2.08%,Reinvest,Y,0,
"Neuberger Berman Systematic Global Equity A Acc USD",USD,7,Y,N,N,Y,1.30%,1.60%,USD 9.13,1000.00,100.00,,,,0,
"FTIF - Templeton Emerging Markets Bond A (Mdis) SGD-H1",SGD,5,Y,N,N,Y,1.00%,1.89%,USD 4690.00,1000.00,100.00,10.22%,Reinvest,M,0,
"Fullerton Lux Funds - Asian Bonds A Acc USD",USD,3,Y,N,N,N,1.00%,1.15%,USD 333.25,1000.00,100.00,,,,0,
"UBS (Lux) Equity Fund - Emerging Markets Sustainable Leaders P Acc SGD",SGD,8,Y,N,N,N,1.54%,2.10%,SGD 299.74,1000.00,500.00,,,,0,
"Eastspring Investments - Asian High Yield Bond AADM AUD-H",AUD,5,Y,N,N,N,1.00%,1.36%,USD 475.20,1000.00,100.00,7.86%,Payout,M,0,
"JPMorgan Investment Funds - Global Income A (div) SGD",SGD,5,Y,N,N,Y,1.25%,1.45%,USD 27976.80,1000.00,500.00,4.14%,Reinvest,Q,0,
"BNP Paribas Euro Mid Cap EUR",EUR,10,Y,N,N,N,1.50%,1.97%,EUR 35.00,1000.00,100.00,,,,0,
"Eastspring Investments - China Equity Fund A USD",USD,9,Y,N,N,N,1.50%,2.16%,USD 106.40,1000.00,100.00,,,,0,
"Eastspring Investments - Asian Local Bond AS SGD",SGD,4,Y,N,N,N,1.25%,1.62%,USD 5042.60,1000.00,100.00,,,,0,
"PIMCO Total Return Bond Fund Cl E Acc EUR-H",EUR,3,Y,N,N,Y,1.40%,1.40%,USD 5700.00,1000.00,100.00,,,,0,
"Allianz Dynamic Asian High Yield Bond Cl AMg DIS H2-AUD",AUD,5,Y,N,N,Y,1.25%,1.54%,USD 994.05,1000.00,100.00,8.39%,Payout,M,0,
"Allianz Dynamic Asian High Yield Bond Cl AMg DIS H2-EUR",EUR,5,Y,N,N,Y,1.25%,1.55%,USD 994.05,1000.00,100.00,7.30%,Payout,M,0,
"PIMCO Diversified Income Fund Cl E Acc USD",USD,4,Y,N,N,Y,1.59%,1.59%,USD 18900.00,1000.00,100.00,,,,0,
"PIMCO Emerging Markets Bond Fund Cl E Acc EUR-H",EUR,5,Y,N,N,Y,1.69%,1.69%,USD 5100.00,1000.00,100.00,,,,0,
"PIMCO Emerging Markets Bond Fund Cl E Acc SGD-H",SGD,5,Y,N,N,Y,1.69%,1.69%,USD 5100.00,1000.00,500.00,,,,0,
"NN (L) Global Equity Impact Opportunities P USD",USD,7,Y,N,N,Y,1.50%,1.80%,EUR 451.01,1000.00,500.00,,,,0,
