Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
CSE Global,544,CSES.SI,278.677,502.789,9.95,5.09,Software & IT Services,78
CWX Global,594,CWXG.SI,34.34,2.444,,,Energy - Fossil Fuels,80
DairyFarm USD,D01,DAIR.SI,5966.298,10268.5,22.02,3.74,Food & Drug Retailing,
Darco Water Tech,BLR,DRWT.SI,15.013,78.082,12.77,,Industrial & Commercial Services,67
Dasin Retail Tr,CEDU,DASI.SI,555.246,87.476,,5.55,Real Estate,85.9
Datapulse Tech,BKW,DATA.SI,40.682,0.68,,,Technology Equipment,63
DBS,D05,DBSM.SI,76706.195,12208,16.41,2.42,Banking & Investment Services,123
Debao Property,BTF,DPDL.SI,9.6,84.067,,,Real Estate,40
Del Monte Pac,D03,DMPL.SI,1330.426,3057.575,17.54,,Food & Beverages,109
Delfi,P34,DELF.SI,543.93,511.247,23.45,3.58,Food & Beverages,85
Design Studio,D11,DESS.SI,21.547,114.686,,,Retailers,54
Digilife Tech,BAI,DIGI.SI,31.109,264.036,,,Telecommunications Services,65
DISA,532,DISA.SI,10.039,10.365,,,Consumer Goods Conglomerates,61
Don Agro,GRQ,DONA.SI,60.109,30.996,6.79,2.89,Food & Beverages,
Dragon,MT1,DRGN.SI,1.342,2.889,,,Industrial Goods,64
Dukang,BKV,DDHL.SI,7.983,22.601,,,Food & Beverages,54
Dutech,CZ4,DTHL.SI,140.832,365.467,9.26,2.53,Technology Equipment,62
Duty Free Intl,5SO,DUTY.SI,98.336,71.981,,6.25,Transportation,63
Dyna-Mac,NO4,DMHL.SI,103.344,84.76,,,Industrial Goods,79
Eagle HTrust USD,LIW,EAGL.SI,119.567,69.414,,25.39,Real Estate,
EC World Reit,BWCU,ECWO.SI,657.528,116.994,24.32,7.03,Real Estate,80.3
Econ Healthcare,EHG,ECOE.SI,86.095,21.048,11.23,2.33,Healthcare Services,
EcoWise,5CT,ECOW.SI,70.854,50.811,67.27,,Industrial & Commercial Services,78
Edition,5HG,EDIT.SI,20.186,,,,Food & Beverages,64
Eindec,42Z,EIND.SI,8.724,20.395,,,Industrial Goods,58
EliteComREIT GBP,MXNU,ELIE.SI,312.726,20.963,9.53,7.52,Real Estate,
Ellipsiz,BIX,ELPZ.SI,57.659,54.565,3.83,2.9,Technology Equipment,54
EMAS Offshore,UQ4,,,,,,,
Eneco Energy,R14,ENEC.SI,16.866,36.389,,,Transportation,38
EnGro,S44,ENGR.SI,157.874,96.934,7.16,1.88,Mineral Resources,88
Envictus,BQD,ETIK.SI,31.167,117.886,,,Cyclical Consumer Services,52
Enviro-Hub,L23,EHHL.SI,102.961,30.77,,,Industrial & Commercial Services,56
Epicentre,5MQ,EPHL.SI,2.808,-3.175,,,Retailers,54
ES,5RC,ESGL.SI,12.002,17.533,12.23,2.94,Industrial Goods,72
ESR-REIT,J91U,ESRR.SI,1563.277,229.924,595.59,6.29,Real Estate,86.1
ETC Singapore,1C0,EMER.SI,33.39,27.827,,,Real Estate,82
EuroSports Gbl,5G1,EURO.SI,68.9,62.321,,,Retailers,71
Excelpoint,BDF,EXCE.SI,94.723,1471.717,6.91,3.8,Technology Equipment,72
Ezion,5ME,EZHL.SI,153.742,39.313,,,Energy - Fossil Fuels,82
Ezra,5DN,EZRA.SI,31.521,697.081,,,Energy - Fossil Fuels,30
F & N,F99,FRNM.SI,2105.161,1845.375,13.18,3.45,Food & Beverages,79
Fabchem China,BFT,FBCH.SI,17.082,27.451,,,Chemicals,68
Falcon Energy,5FL,FEGL.SI,22.755,39.521,,,Energy - Fossil Fuels,50
Far East,5TJ,FAEA.SI,11.815,54.57,,1.7,Industrial Goods,68
Far East HTrust,Q5T,FAEH.SI,1181.675,83.254,,3.33,Real Estate,99.2
Far East Orchard,O10,FARE.SI,491.924,112.215,304.23,2.78,Cyclical Consumer Services,92
Federal Int,BDU,FEDL.SI,19.004,68.142,,,Energy - Fossil Fuels,83
Figtree,5F4,FIGT.SI,23.846,8.817,,2.99,Real Estate,70
First Reit,AW9U,FRET.SI,433.79,79.619,,,Real Estate,74.9
First Resources,EB5,FRLD.SI,2170.18,876.714,16.37,2.19,Food & Beverages,94
First Sponsor,ADN,FSCA.SI,1278.815,203.936,15.23,2.79,Real Estate,86
FJ Benjamin,F10,FJBN.SI,38.423,68.194,,,Retailers,53
Food Empire,F03,FEMP.SI,497.337,362.369,13.84,2.4,Food & Beverages,42
Forise Int,8A1,FOIL.SI,2.812,2.24,,,Industrial & Commercial Services,
FortressMinerals,OAJ,FORR.SI,365,51.207,19.2,1.37,Mineral Resources,65
Fragrance,F31,FRAG.SI,779.52,111.305,464,3.02,Cyclical Consumer Services,60
Frasers Cpt Tr,J69U,FCRT.SI,4060.342,238.071,20.06,,Real Estate,76.2
Frasers HTrust,ACV,FRHO.SI,1011.189,65.893,,2.3,Real Estate,86.3
Frasers L&C Tr,BUOU,FRAE.SI,5252.308,444.985,7.61,5.02,Real Estate,92.5
Frasers Property,TQ5,FRPL.SI,4581.82,3029.705,20.02,1.28,Real Estate,87
Frencken,E28,FREN.SI,734.444,620.616,17.23,1.74,Industrial Goods,57
FSL Trust,D8DU,FSLT.SI,139.677,48.451,,58.79,Transportation,81.4
Fu Yu,F13,FUYU.SI,240.958,153.442,14.24,5,Industrial Goods,84
Fuji Offset,508,FOPS.SI,16.721,4.017,15.55,0.9,Industrial Goods,79
Full Apex,BTY,FULL.SI,17.32,205.79,,,Applied Resources,7
Fuxing China,AWK,FXCG.SI,11.888,144.68,,,Cyclical Consumer Products,54
G Invacom,QS9,GLOB.SI,28.805,136.809,7.99,,Technology Equipment,68
G K Goh,G41,GKHS.SI,319.938,135.617,679.31,2.03,Industrial & Commercial Services,61
Gallant Venture,5IG,GLVT.SI,721.565,138.199,,,Automobiles & Auto Parts,75
GCCP,41T,GCCP.SI,20.288,1.604,,,Mineral Resources,49
GDS Global,5VP,GDSG.SI,4.704,10.395,,7.14,Cyclical Consumer Products,63
Genting Sing,G13,GENS.SI,10582.273,1063.749,155.69,1.14,Cyclical Consumer Services,83
Geo Energy Res,RE4,GEOE.SI,307.84,442.637,2.52,5,Energy - Fossil Fuels,93
GHY Culture,XJB,GHYC.SI,762.392,127.095,15.76,1.51,Cyclical Consumer Services,
GKE,595,GKEC.SI,107.285,112.344,11.11,,Transportation,67
GL,B16,GLLI.SI,1060.249,112.041,,,Cyclical Consumer Services,60
Global Dragon,586,GLOL.SI,47.738,5.23,,,Real Estate,73
Global Inv,B73,GLNV.SI,262.024,18.766,17.21,5.26,Collective Investments,105
Global Palm Res,BLW,GPRL.SI,48.403,26.02,,,Food & Beverages,55
Global Testing,AYN,GTCL.SI,12.321,30.39,26.08,,Technology Equipment,52
Golden Agri-Res,E5H,GAGR.SI,3145.199,9395.896,73.24,1.96,Food & Beverages,81
Golden Energy,AUE,GOLD.SI,418.852,1543.467,38.98,,Energy - Fossil Fuels,70
Goodland,5PC,GLGP.SI,53.199,14.654,,1.67,Real Estate,54
GP Industries,G20,GPEI.SI,297.174,1182.101,8.7,2.19,Industrial Goods,61
Grand Banks,G50,GBYL.SI,55.39,111.597,18.53,,Cyclical Consumer Products,94
Grand Venture,JLB,GRAN.SI,238.508,61.4,35.02,,Industrial Goods,64
Great Eastern,G07,GELA.SI,10730.144,21457.801,11.17,2.65,Insurance,95
Green Build,Y06,GREE.SI,5.18,1.549,9.62,,Industrial & Commercial Services,57
GRP,BLU,GRPS.SI,36.416,20.548,,,Real Estate,84
GS Hldg,43A,GSHO.SI,85.097,13.583,178.29,2.17,Cyclical Consumer Services,37
GSH,BDX,GSHC.SI,385.522,120.213,,1.28,Cyclical Consumer Services,70
GSS Energy,41F,GSSE.SI,32.296,106.376,5.78,,Industrial Goods,60
Guoan Intl,G11,0143.HK,387.448,168.839,,,Technology Equipment,
GuocoLand,F17,GUOC.SI,1893.397,689.355,40.89,3.75,Real Estate,104
GYP Properties,AWS,GYPP.SI,37.238,46.506,,,Real Estate,60
Hafary,5VS,HFRY.SI,68.888,84.315,12.96,6.25,Cyclical Consumer Products,70
Hai Leck,BLH,HLHL.SI,119.476,106.378,12.98,1.72,Energy - Fossil Fuels,65
